"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATING_EQUIPMENT_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"WEST","COLD","WASHINGTON",2939032,"DO NOT USE HEATER",69979,2.4
"WEST","COLD","WASHINGTON",2939032,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",57076,1.9
"WEST","COLD","WASHINGTON",2939032,"CENTRAL FURNACE",1393734,47.4
"WEST","COLD","WASHINGTON",2939032,"CENTRAL HEAT PUMP",263413,9
"WEST","COLD","WASHINGTON",2939032,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",775646,26.4
"WEST","COLD","WASHINGTON",2939032,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",22922,0.8
"WEST","COLD","WASHINGTON",2939032,"WOOD OR PELLET STOVE",92118,3.1
"WEST","COLD","WASHINGTON",2939032,"PORTABLE ELECTRIC HEATER",114692,3.9
"WEST","COLD","WASHINGTON",2939032,"MINISPLIT",122931,4.2
"WEST","COLD","WASHINGTON",2939032,"OTHER",26522,0.9
"SOUTH","COLD","WEST VIRGINIA",696161,"DO NOT USE HEATER",3936,0.6
"SOUTH","COLD","WEST VIRGINIA",696161,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",24018,3.5
"SOUTH","COLD","WEST VIRGINIA",696161,"CENTRAL FURNACE",372801,53.5
"SOUTH","COLD","WEST VIRGINIA",696161,"CENTRAL HEAT PUMP",140445,20.2
"SOUTH","COLD","WEST VIRGINIA",696161,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",72744,10.4
"SOUTH","COLD","WEST VIRGINIA",696161,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",22692,3.3
"SOUTH","COLD","WEST VIRGINIA",696161,"WOOD OR PELLET STOVE",30898,4.4
"SOUTH","COLD","WEST VIRGINIA",696161,"PORTABLE ELECTRIC HEATER",21799,3.1
"SOUTH","COLD","WEST VIRGINIA",696161,"MINISPLIT",0,0
"SOUTH","COLD","WEST VIRGINIA",696161,"OTHER",6827,1
"MIDWEST","COLD","WISCONSIN",2388876,"DO NOT USE HEATER",15760,0.7
"MIDWEST","COLD","WISCONSIN",2388876,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",197979,8.3
"MIDWEST","COLD","WISCONSIN",2388876,"CENTRAL FURNACE",1867980,78.2
"MIDWEST","COLD","WISCONSIN",2388876,"CENTRAL HEAT PUMP",22131,0.9
"MIDWEST","COLD","WISCONSIN",2388876,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",180506,7.6
"MIDWEST","COLD","WISCONSIN",2388876,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",40613,1.7
"MIDWEST","COLD","WISCONSIN",2388876,"WOOD OR PELLET STOVE",49974,2.1
"MIDWEST","COLD","WISCONSIN",2388876,"PORTABLE ELECTRIC HEATER",5965,0.2
"MIDWEST","COLD","WISCONSIN",2388876,"MINISPLIT",7969,0.3
"MIDWEST","COLD","WISCONSIN",2388876,"OTHER",0,0
"WEST","COLD","WYOMING",226146,"DO NOT USE HEATER",0,0
"WEST","COLD","WYOMING",226146,"STEAM OR HOT WATER SYSTEM WITH RADIATORS OR PIPES",21016,9.3
"WEST","COLD","WYOMING",226146,"CENTRAL FURNACE",154246,68.2
"WEST","COLD","WYOMING",226146,"CENTRAL HEAT PUMP",2176,1
"WEST","COLD","WYOMING",226146,"BUILT-IN ELECTRIC UNITS IN WALLS/CEILINGS/BASEBOARDS/FLOORS",23628,10.4
"WEST","COLD","WYOMING",226146,"BUILT-IN ROOM HEATER BURNING GAS OR OIL",9901,4.4
"WEST","COLD","WYOMING",226146,"WOOD OR PELLET STOVE",8295,3.7
"WEST","COLD","WYOMING",226146,"PORTABLE ELECTRIC HEATER",5759,2.5
"WEST","COLD","WYOMING",226146,"MINISPLIT",0,0
"WEST","COLD","WYOMING",226146,"OTHER",1126,0.5
